Report_ID,User_ID,Group_ID,Category,Item,Damage_Rate,Lat,Lng,Report_Date,Dept,Manager,Contact,Status
REP_SEO_00040,USER_92544,GRP_SEO_0002,통행시설물,보도블록,2,37.507933,126.88982,2024-04-14,도로과,조성민,010-2233-4455,처리진행중
REP_SEO_00041,USER_10726,GRP_SEO_0013,보호시설물,보호시설물볼라드,1,37.580307,127.064303,2024-10-06,시설관리과,정현우,010-8877-6655,신고접수
REP_SEO_00042,USER_77889,GRP_SEO_0050,휴게시설물,등받이없는벤치,3,37.582148,126.926789,2024-07-29,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00043,USER_70901,GRP_SEO_0004,휴게시설물,등받이있는벤치,1,37.521087,127.006637,2025-05-12,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00044,USER_76162,GRP_SEO_0034,통행시설물,보차도경계석,3,37.611916,126.95867,2025-10-19,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00045,USER_42406,GRP_SEO_0036,통행시설물,보차도경계석,1,37.645351,127.080901,2025-05-05,도로과,강민혁,010-5566-7788,처리진행중
REP_SEO_00046,USER_20155,GRP_SEO_0018,통행시설물,보차도경계석,1,37.600854,127.058233,2024-10-01,도로과,조성민,010-2233-4455,신고접수
REP_SEO_00047,USER_60205,GRP_SEO_0019,휴게시설물,등받이있는벤치,1,37.585454,126.909597,2024-06-20,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00048,USER_64496,GRP_SEO_0010,보호시설물,보호시설물볼라드,2,37.624878,127.034993,2025-01-03,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00049,USER_10772,GRP_SEO_0014,휴게시설물,등받이없는벤치,2,37.594175,127.084168,2025-09-11,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00050,USER_81582,GRP_SEO_0020,통행시설물,보도블록,2,37.512012,126.970113,2025-08-04,도로과,강민혁,010-5566-7788,처리진행중
REP_SEO_00051,USER_97670,GRP_SEO_0015,휴게시설물,등받이있는벤치,2,37.626125,127.111235,2024-02-29,공원녹지과,윤서연,010-3344-5566,처리진행중
REP_SEO_00052,USER_61645,GRP_SEO_0026,통행시설물,보차도경계석,2,37.608302,126.984314,2025-10-29,도로과,김도현,010-3245-8612,처리진행중
REP_SEO_00053,USER_33819,GRP_SEO_0037,휴게시설물,등받이있는벤치,3,37.628668,126.946466,2024-06-17,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00054,USER_59692,GRP_SEO_0017,보호시설물,보호시설물볼라드,2,37.511814,126.962971,2025-01-10,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00055,USER_80702,GRP_SEO_0049,휴게시설물,등받이있는벤치,1,37.525995,126.878552,2025-05-26,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00056,USER_36130,GRP_SEO_0023,보호시설물,보호시설물볼라드,3,37.551137,126.879108,2024-03-02,시설관리과,이지훈,010-9234-5678,처리완료
REP_SEO_00057,USER_70952,GRP_SEO_0040,휴게시설물,등받이있는벤치,3,37.638232,127.114755,2025-08-30,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00058,USER_24168,GRP_SEO_0017,보호시설물,보호시설물볼라드,3,37.511891,126.962962,2024-07-16,시설관리과,이지훈,010-9234-5678,처리진행중
REP_SEO_00059,USER_35995,GRP_SEO_0002,통행시설물,보도블록,3,37.50811,126.889739,2025-03-12,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00060,USER_88697,GRP_SEO_0038,통행시설물,보도블록,3,37.510257,127.081154,2024-12-04,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00061,USER_94874,GRP_SEO_0037,휴게시설물,등받이있는벤치,1,37.628692,126.946518,2025-02-13,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00062,USER_93307,GRP_SEO_0001,휴게시설물,등받이있는벤치,3,37.489197,126.939823,2025-04-18,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00063,USER_80539,GRP_SEO_0046,통행시설물,점자블록,1,37.64405,127.12932,2025-11-27,도로과,조성민,010-2233-4455,신고접수
REP_SEO_00064,USER_21359,GRP_SEO_0031,휴게시설물,등받이있는벤치,3,37.54848,127.032873,2024-12-26,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00065,USER_52600,GRP_SEO_0029,휴게시설물,등받이없는벤치,1,37.627031,126.904317,2025-01-09,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00066,USER_46211,GRP_SEO_0032,통행시설물,트랜치,3,37.572246,127.141672,2024-11-12,도로과,강민혁,010-5566-7788,처리진행중
REP_SEO_00067,USER_41499,GRP_SEO_0001,휴게시설물,등받이있는벤치,2,37.48913,126.939697,2025-03-22,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00068,USER_63005,GRP_SEO_0031,휴게시설물,등받이있는벤치,1,37.548516,127.032806,2024-05-05,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00069,USER_65771,GRP_SEO_0016,통행시설물,점자블록,2,37.530827,127.044365,2025-08-19,도로과,강민혁,010-5566-7788,신고접수
REP_SEO_00070,USER_25814,GRP_SEO_0036,통행시설물,보차도경계석,1,37.645328,127.08101,2024-12-09,도로과,강민혁,010-5566-7788,신고접수
REP_SEO_00071,USER_73464,GRP_SEO_0013,보호시설물,보호시설물볼라드,1,37.580226,127.064374,2024-08-14,시설관리과,이지훈,010-9234-5678,처리완료
REP_SEO_00072,USER_35443,GRP_SEO_0047,통행시설물,보도블록,3,37.602654,126.97576,2024-11-15,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00073,USER_17146,GRP_SEO_0015,휴게시설물,등받이있는벤치,1,37.6261,127.111241,2024-11-06,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00074,USER_85243,GRP_SEO_0019,휴게시설물,등받이있는벤치,3,37.585546,126.909555,2024-05-15,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00075,USER_72616,GRP_SEO_0031,휴게시설물,등받이있는벤치,3,37.548482,127.032776,2024-10-15,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00076,USER_83772,GRP_SEO_0005,휴게시설물,등받이없는벤치,1,37.577586,127.067561,2024-07-04,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00077,USER_91057,GRP_SEO_0006,통행시설물,점자블록,2,37.521471,127.030811,2025-10-12,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00078,USER_66207,GRP_SEO_0050,휴게시설물,등받이없는벤치,3,37.582075,126.926723,2024-11-30,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00079,USER_44687,GRP_SEO_0037,휴게시설물,등받이있는벤치,2,37.62866,126.946571,2024-08-30,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00080,USER_69048,GRP_SEO_0006,통행시설물,점자블록,1,37.521304,127.030822,2024-07-09,도로과,김도현,010-3245-8612,처리진행중
REP_SEO_00081,USER_69510,GRP_SEO_0039,휴게시설물,등받이없는벤치,2,37.58382,127.001602,2024-11-15,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00082,USER_35928,GRP_SEO_0044,통행시설물,맨홀,2,37.506131,126.997785,2025-09-25,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00083,USER_31747,GRP_SEO_0008,통행시설물,점자블록,1,37.54115,126.905119,2024-06-24,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00084,USER_49857,GRP_SEO_0039,휴게시설물,등받이없는벤치,1,37.583876,127.001709,2025-04-24,공원녹지과,윤서연,010-3344-5566,처리진행중
REP_SEO_00085,USER_15224,GRP_SEO_0026,통행시설물,보차도경계석,1,37.608346,126.984246,2025-04-23,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00086,USER_85392,GRP_SEO_0048,보호시설물,보호시설물볼라드,3,37.557251,127.010047,2024-09-21,시설관리과,이지훈,010-9234-5678,처리진행중
REP_SEO_00087,USER_32962,GRP_SEO_0002,통행시설물,보도블록,1,37.508124,126.889758,2025-09-12,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00088,USER_74451,GRP_SEO_0034,통행시설물,보차도경계석,2,37.611849,126.958734,2025-09-21,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00089,USER_74942,GRP_SEO_0031,휴게시설물,등받이있는벤치,2,37.548456,127.032774,2024-07-13,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00090,USER_43082,GRP_SEO_0043,휴게시설물,등받이있는벤치,1,37.646456,127.014548,2025-05-10,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00091,USER_81118,GRP_SEO_0008,통행시설물,점자블록,2,37.541235,126.90507,2024-02-01,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00092,USER_16764,GRP_SEO_0027,통행시설물,점자블록,2,37.54464,127.149228,2025-06-24,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00093,USER_92578,GRP_SEO_0018,통행시설물,보차도경계석,1,37.60081,127.058314,2025-06-10,도로과,강민혁,010-5566-7788,처리진행중
REP_SEO_00094,USER_39451,GRP_SEO_0016,통행시설물,점자블록,2,37.530908,127.044311,2025-08-18,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00095,USER_48254,GRP_SEO_0030,통행시설물,맨홀,3,37.615783,126.982456,2025-06-24,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00096,USER_28958,GRP_SEO_0046,통행시설물,점자블록,2,37.644075,127.129452,2024-10-06,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00097,USER_64387,GRP_SEO_0013,보호시설물,보호시설물볼라드,1,37.580347,127.064327,2024-04-11,시설관리과,이지훈,010-9234-5678,처리완료
REP_SEO_00098,USER_96499,GRP_SEO_0033,휴게시설물,등받이없는벤치,2,37.5972,126.893121,2025-09-23,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00099,USER_59441,GRP_SEO_0010,보호시설물,보호시설물볼라드,2,37.624826,127.035077,2025-08-18,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00100,USER_63841,GRP_SEO_0021,통행시설물,보도블록,2,37.598035,127.104523,2025-09-07,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00101,USER_95461,GRP_SEO_0021,통행시설물,보도블록,3,37.59801,127.104468,2025-03-01,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00102,USER_67711,GRP_SEO_0032,통행시설물,트랜치,3,37.572397,127.141538,2025-01-04,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00103,USER_30232,GRP_SEO_0034,통행시설물,보차도경계석,3,37.611901,126.958554,2025-03-25,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00104,USER_53065,GRP_SEO_0031,휴게시설물,등받이있는벤치,1,37.548543,127.032761,2025-11-26,공원녹지과,윤서연,010-3344-5566,처리진행중
REP_SEO_00105,USER_14705,GRP_SEO_0035,통행시설물,보차도경계석,3,37.556712,126.991543,2025-06-13,도로과,조성민,010-2233-4455,처리진행중
REP_SEO_00106,USER_66881,GRP_SEO_0005,휴게시설물,등받이없는벤치,2,37.577552,127.067683,2024-09-19,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00107,USER_13794,GRP_SEO_0049,휴게시설물,등받이있는벤치,2,37.525931,126.878642,2024-07-19,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00108,USER_79621,GRP_SEO_0021,통행시설물,보도블록,1,37.598021,127.104386,2025-04-16,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00109,USER_60140,GRP_SEO_0037,휴게시설물,등받이있는벤치,2,37.628672,126.946485,2024-04-20,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00110,USER_43289,GRP_SEO_0044,통행시설물,맨홀,2,37.506133,126.997914,2024-09-24,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00111,USER_30706,GRP_SEO_0017,보호시설물,보호시설물볼라드,2,37.511871,126.963108,2024-11-20,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00112,USER_42780,GRP_SEO_0029,휴게시설물,등받이없는벤치,3,37.627171,126.904422,2025-11-15,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00113,USER_84963,GRP_SEO_0020,통행시설물,보도블록,1,37.511901,126.970019,2024-05-19,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00114,USER_84177,GRP_SEO_0037,휴게시설물,등받이있는벤치,1,37.628595,126.946589,2025-03-11,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00115,USER_40162,GRP_SEO_0050,휴게시설물,등받이없는벤치,2,37.58212,126.926643,2024-11-19,공원녹지과,윤서연,010-3344-5566,처리진행중
REP_SEO_00116,USER_92242,GRP_SEO_0023,보호시설물,보호시설물볼라드,2,37.551136,126.879133,2024-06-19,시설관리과,정현우,010-8877-6655,처리진행중
REP_SEO_00117,USER_48680,GRP_SEO_0003,휴게시설물,등받이있는벤치,1,37.582393,126.869205,2024-06-13,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00118,USER_45720,GRP_SEO_0048,보호시설물,보호시설물볼라드,2,37.55727,127.010037,2025-07-27,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00119,USER_71385,GRP_SEO_0017,보호시설물,보호시설물볼라드,3,37.511921,126.963117,2025-01-11,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00120,USER_61717,GRP_SEO_0010,보호시설물,보호시설물볼라드,2,37.624887,127.035026,2025-08-23,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00121,USER_93695,GRP_SEO_0017,보호시설물,보호시설물볼라드,2,37.511845,126.963019,2025-09-20,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00122,USER_18285,GRP_SEO_0007,휴게시설물,등받이없는벤치,1,37.610238,126.906295,2025-10-16,공원녹지과,윤서연,010-3344-5566,처리진행중
REP_SEO_00123,USER_14877,GRP_SEO_0030,통행시설물,맨홀,1,37.615775,126.982387,2024-05-29,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00124,USER_58629,GRP_SEO_0032,통행시설물,트랜치,2,37.572227,127.14156,2024-06-17,도로과,조성민,010-2233-4455,처리진행중
REP_SEO_00125,USER_74139,GRP_SEO_0048,보호시설물,보호시설물볼라드,2,37.557326,127.010105,2025-03-30,시설관리과,이지훈,010-9234-5678,처리진행중
REP_SEO_00126,USER_68287,GRP_SEO_0027,통행시설물,점자블록,1,37.544817,127.14918,2025-02-13,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00127,USER_34878,GRP_SEO_0024,보호시설물,보호시설물볼라드,2,37.520003,127.004814,2024-04-02,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00128,USER_16629,GRP_SEO_0030,통행시설물,맨홀,3,37.615611,126.982369,2025-10-03,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00129,USER_82641,GRP_SEO_0016,통행시설물,점자블록,3,37.530963,127.044406,2024-04-10,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00130,USER_88116,GRP_SEO_0038,통행시설물,보도블록,2,37.510162,127.081202,2024-06-30,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00131,USER_32871,GRP_SEO_0018,통행시설물,보차도경계석,1,37.600872,127.058158,2025-08-06,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00132,USER_12068,GRP_SEO_0043,휴게시설물,등받이있는벤치,2,37.646441,127.014411,2024-09-30,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00133,USER_57453,GRP_SEO_0017,보호시설물,보호시설물볼라드,2,37.511748,126.963077,2024-04-05,시설관리과,이지훈,010-9234-5678,처리완료
REP_SEO_00134,USER_96363,GRP_SEO_0038,통행시설물,보도블록,2,37.51014,127.081129,2024-03-15,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00135,USER_65872,GRP_SEO_0020,통행시설물,보도블록,3,37.511953,126.970135,2025-06-04,도로과,김도현,010-3245-8612,처리진행중
REP_SEO_00136,USER_29442,GRP_SEO_0007,휴게시설물,등받이없는벤치,2,37.610201,126.906383,2024-04-22,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00137,USER_79541,GRP_SEO_0009,보호시설물,보호시설물볼라드,3,37.50182,126.970206,2025-02-24,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00138,USER_95316,GRP_SEO_0030,통행시설물,맨홀,3,37.615694,126.982412,2024-05-27,도로과,조성민,010-2233-4455,신고접수
REP_SEO_00139,USER_69441,GRP_SEO_0036,통행시설물,보차도경계석,2,37.645406,127.080912,2024-09-20,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00140,USER_30006,GRP_SEO_0027,통행시설물,점자블록,2,37.544775,127.149187,2024-10-18,도로과,강민혁,010-5566-7788,처리진행중
REP_SEO_00141,USER_58843,GRP_SEO_0031,휴게시설물,등받이있는벤치,1,37.5484,127.032874,2025-04-17,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00142,USER_63845,GRP_SEO_0036,통행시설물,보차도경계석,2,37.645274,127.08106,2025-01-02,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00143,USER_56090,GRP_SEO_0043,휴게시설물,등받이있는벤치,2,37.646456,127.014469,2024-11-20,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00144,USER_55890,GRP_SEO_0037,휴게시설물,등받이있는벤치,3,37.628637,126.94648,2024-09-16,공원녹지과,윤서연,010-3344-5566,처리진행중
REP_SEO_00145,USER_91490,GRP_SEO_0024,보호시설물,보호시설물볼라드,3,37.520006,127.004733,2025-04-14,시설관리과,이지훈,010-9234-5678,처리진행중
REP_SEO_00146,USER_45818,GRP_SEO_0044,통행시설물,맨홀,1,37.506213,126.997737,2024-10-30,도로과,조성민,010-2233-4455,처리진행중
REP_SEO_00147,USER_84228,GRP_SEO_0049,휴게시설물,등받이있는벤치,3,37.525866,126.878535,2024-08-03,공원녹지과,박민지,010-7821-3456,처리진행중
REP_SEO_00148,USER_38197,GRP_SEO_0026,통행시설물,보차도경계석,2,37.608171,126.984294,2024-05-03,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00149,USER_84395,GRP_SEO_0027,통행시설물,점자블록,2,37.54472,127.149156,2024-12-28,도로과,강민혁,010-5566-7788,처리진행중
REP_SEO_00150,USER_45665,GRP_SEO_0006,통행시설물,점자블록,2,37.521449,127.030818,2024-03-21,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00151,USER_77154,GRP_SEO_0043,휴게시설물,등받이있는벤치,1,37.646352,127.014506,2024-11-05,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00152,USER_15952,GRP_SEO_0023,보호시설물,보호시설물볼라드,2,37.551178,126.879151,2025-07-23,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00153,USER_27987,GRP_SEO_0026,통행시설물,보차도경계석,3,37.608354,126.984157,2024-12-04,도로과,김도현,010-3245-8612,신고접수
REP_SEO_00154,USER_59834,GRP_SEO_0017,보호시설물,보호시설물볼라드,1,37.511796,126.962952,2025-04-15,시설관리과,정현우,010-8877-6655,처리완료
REP_SEO_00155,USER_15544,GRP_SEO_0046,통행시설물,점자블록,1,37.644066,127.129397,2025-01-27,도로과,조성민,010-2233-4455,처리완료
REP_SEO_00156,USER_63008,GRP_SEO_0002,통행시설물,보도블록,2,37.508016,126.889639,2025-09-11,도로과,강민혁,010-5566-7788,신고접수
REP_SEO_00157,USER_91018,GRP_SEO_0041,통행시설물,보차도경계석,1,37.524493,126.929776,2024-12-28,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00158,USER_62487,GRP_SEO_0045,통행시설물,맨홀,2,37.528818,127.112923,2024-10-06,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00159,USER_32037,GRP_SEO_0006,통행시설물,점자블록,2,37.521352,127.030849,2024-09-13,도로과,강민혁,010-5566-7788,처리완료
REP_SEO_00160,USER_94599,GRP_SEO_0033,휴게시설물,등받이없는벤치,2,37.597273,126.893226,2025-01-22,공원녹지과,박민지,010-7821-3456,처리완료
REP_SEO_00161,USER_95918,GRP_SEO_0016,통행시설물,점자블록,1,37.530786,127.0443,2025-10-08,도로과,김도현,010-3245-8612,처리완료
REP_SEO_00162,USER_68838,GRP_SEO_0012,통행시설물,점자블록,2,37.498092,126.945047,2025-08-30,도로과,강민혁,010-5566-7788,처리진행중
REP_SEO_00163,USER_67640,GRP_SEO_0037,휴게시설물,등받이있는벤치,2,37.628664,126.946646,2025-11-03,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00164,USER_76497,GRP_SEO_0031,휴게시설물,등받이있는벤치,1,37.548475,127.032768,2025-09-27,공원녹지과,윤서연,010-3344-5566,처리완료
REP_SEO_00165,USER_21835,GRP_SEO_0020,통행시설물,보도블록,1,37.511954,126.96995,2024-11-19,도로과,강민혁,010-5566-7788,처리진행중
REP_SEO_00166,USER_84928,GRP_SEO_0039,휴게시설물,등받이없는벤치,3,37.583827,127.001688,2025-05-05,공원녹지과,박민지,010-7821-3456,처리진행중
