Group_ID,Frequency,Location_Risk,Damage_Rate,First_Report_Date,Last_Report_Date,Elapsed_Days,Final_Score
GRP_1683,43,7.8,2,2025-01-02,2026-04-19,470,86.26
GRP_2165,49,4.9,3,2025-01-02,2026-04-08,470,85.82
GRP_0101,39,8.4,2,2025-01-09,2026-04-13,463,85.5
GRP_2980,36,9.0,2,2025-01-22,2026-04-20,450,85.41
GRP_2078,50,4.6,3,2025-01-01,2026-04-28,471,85.37
GRP_2417,50,4.6,3,2025-01-06,2026-04-23,466,85.28
GRP_2692,41,9.6,1,2025-01-08,2026-04-28,464,85.13
GRP_2346,49,8.0,1,2025-01-09,2026-04-21,463,84.71
GRP_2636,41,9.4,1,2025-01-01,2026-04-12,471,84.5
GRP_0909,44,8.8,1,2025-01-05,2026-04-25,467,84.24
GRP_0286,43,7.2,2,2025-01-01,2026-04-25,471,83.83
GRP_0713,44,5.3,3,2025-01-13,2026-04-21,459,83.41
GRP_0424,48,4.5,3,2025-01-04,2026-04-21,468,83.38
GRP_2062,60,3.9,2,2025-01-03,2026-04-27,469,83.35
GRP_0343,56,6.3,1,2025-01-02,2026-04-27,470,83.34
GRP_1272,47,6.3,2,2025-01-02,2026-04-29,470,83.23
GRP_2315,50,4.1,3,2025-01-15,2026-04-17,457,83.05
GRP_0851,49,4.2,3,2025-01-08,2026-04-27,464,82.88
GRP_1773,61,2.0,3,2025-01-27,2026-04-29,445,82.67
GRP_1081,43,8.7,1,2025-01-28,2026-04-21,444,82.62
GRP_0700,63,1.5,3,2025-01-09,2026-04-16,463,82.58
GRP_1722,46,8.0,1,2025-01-08,2026-04-16,464,82.5
GRP_0284,50,7.2,1,2025-01-13,2026-04-16,459,82.17
GRP_2697,56,6.0,1,2025-01-02,2026-04-22,470,82.13
GRP_1274,49,3.9,3,2025-01-04,2026-04-19,468,81.74
GRP_0989,39,9.1,1,2025-01-04,2026-04-28,468,81.73
GRP_2961,55,4.5,2,2025-01-17,2026-04-29,455,81.71
GRP_0034,53,4.8,2,2025-01-06,2026-04-22,466,81.66
GRP_2882,56,2.4,3,2025-01-01,2026-04-28,471,81.09
GRP_0435,51,6.7,1,2025-01-22,2026-04-25,450,80.8
GRP_1453,42,6.6,2,2025-01-03,2026-04-16,469,80.63
GRP_1204,54,2.4,3,2025-01-18,2026-04-03,454,79.26
GRP_1075,44,5.9,2,2025-01-20,2026-04-05,452,79.02
GRP_0127,35,5.8,3,2025-01-01,2026-04-14,471,78.95
GRP_1169,53,4.1,2,2025-01-02,2026-04-18,470,78.93
GRP_1217,50,6.4,1,2025-01-28,2026-04-26,444,78.69
GRP_2749,49,4.8,2,2025-01-10,2026-04-24,462,78.59
GRP_2336,44,5.7,2,2025-01-05,2026-04-25,467,78.56
GRP_2121,51,2.6,3,2025-01-17,2026-04-29,455,77.8
GRP_1033,53,3.6,2,2025-01-10,2026-04-20,462,76.77
GRP_0928,56,1.3,3,2025-01-01,2026-04-20,471,76.68
GRP_1588,55,3.2,2,2025-01-12,2026-04-10,460,76.61
GRP_1757,52,3.7,2,2025-01-06,2026-04-27,466,76.5
GRP_2888,54,4.9,1,2025-01-10,2026-04-21,462,76.06
GRP_1688,37,6.3,2,2025-01-02,2026-04-16,470,75.76
GRP_2251,32,8.8,1,2025-01-10,2026-04-24,462,75.14
GRP_0288,48,2.4,3,2025-01-05,2026-04-29,467,74.98
GRP_2753,44,4.7,2,2025-01-12,2026-04-17,460,74.36
GRP_0004,43,6.5,1,2025-01-06,2026-04-21,466,74.3
GRP_2476,51,5.0,1,2025-01-13,2026-04-18,459,74.17
GRP_2424,43,4.6,2,2025-01-04,2026-04-23,468,73.4
GRP_2094,48,3.7,2,2025-01-14,2026-04-20,458,73.34
GRP_0958,39,7.0,1,2025-01-16,2026-04-24,456,73.08
GRP_0870,44,2.8,3,2025-02-10,2026-04-21,431,72.9
GRP_2941,51,4.6,1,2025-01-24,2026-04-28,448,72.29
GRP_2714,32,8.1,1,2025-01-13,2026-04-28,459,72.28
GRP_1503,36,5.6,2,2025-01-14,2026-03-09,458,71.91
GRP_2299,4,9.8,3,2025-02-05,2026-04-25,436,70.96
GRP_2162,46,5.1,1,2025-01-10,2026-04-17,462,70.82
GRP_2143,48,4.6,1,2025-01-03,2026-04-28,469,70.5
GRP_0804,48,2.9,2,2025-01-03,2026-04-27,469,70.35
GRP_0162,40,2.8,3,2025-01-19,2026-04-29,453,70.29
GRP_0644,46,4.9,1,2025-01-08,2026-04-29,464,70.13
GRP_2668,50,4.2,1,2025-01-20,2026-04-26,452,70.02
GRP_0232,3,9.9,3,2025-03-15,2025-08-14,398,69.87
GRP_2569,42,3.9,2,2025-01-01,2026-04-25,471,69.86
GRP_2629,2,9.9,3,2025-02-09,2025-10-06,432,69.81
GRP_2199,2,9.8,3,2025-01-22,2026-04-28,450,69.78
GRP_1367,46,4.8,1,2025-01-08,2026-04-18,464,69.71
GRP_2418,3,9.5,3,2025-01-04,2026-01-27,468,69.69
GRP_1988,45,5.0,1,2025-01-18,2026-04-21,454,69.51
GRP_0608,2,10.0,3,2025-03-19,2025-09-01,394,69.43
GRP_2867,47,1.2,3,2025-01-08,2026-03-31,464,69.34
GRP_2146,2,9.7,3,2025-01-24,2025-12-21,448,69.29
GRP_1244,51,2.1,2,2025-01-14,2026-04-15,458,69.2
GRP_0544,47,2.8,2,2025-01-14,2026-04-07,458,68.99
GRP_0732,43,1.8,3,2025-01-01,2026-04-23,471,68.93
GRP_0990,2,9.9,3,2025-03-26,2025-07-02,387,68.93
GRP_0210,3,9.5,3,2025-02-13,2025-09-30,428,68.82
GRP_0569,2,9.6,3,2025-02-03,2026-02-18,438,68.7
GRP_0678,2,9.7,3,2025-02-26,2026-03-09,415,68.63
GRP_0668,38,2.8,3,2025-01-31,2026-04-18,441,68.6
GRP_1185,1,9.6,3,2025-01-08,2025-01-08,464,68.49
GRP_2074,2,9.6,3,2025-03-07,2026-02-01,406,68.06
GRP_2171,1,9.4,3,2025-01-03,2025-01-03,469,67.74
GRP_2808,1,9.8,3,2025-03-27,2025-03-27,386,67.72
GRP_2099,1,9.8,3,2025-03-27,2025-03-27,386,67.7
GRP_1702,59,1.8,1,2025-01-03,2026-04-27,469,67.54
GRP_0737,35,2.9,3,2025-01-02,2026-04-20,470,67.31
GRP_0615,3,9.6,3,2025-05-24,2025-10-11,328,67.29
GRP_1525,3,9.1,3,2025-02-16,2026-03-03,425,67.17
GRP_2525,2,9.6,3,2025-04-24,2025-06-28,358,67.1
GRP_0452,3,9.2,3,2025-03-16,2025-09-17,397,67.01
GRP_1023,3,9.0,3,2025-02-07,2026-03-20,434,66.99
GRP_1371,3,9.0,3,2025-02-08,2025-12-13,433,66.97
GRP_0356,1,9.4,3,2025-02-19,2025-02-19,422,66.82
GRP_2190,1,9.9,3,2025-06-16,2025-06-16,305,66.51
GRP_0165,2,9.1,3,2025-02-26,2025-06-08,415,66.29
GRP_1779,2,10.0,3,2025-08-26,2025-11-28,234,66.21
GRP_2599,5,8.6,3,2025-03-14,2025-08-09,399,66.21
GRP_0972,1,9.3,3,2025-03-05,2025-03-05,408,66.16
GRP_1960,3,9.1,3,2025-04-13,2026-02-03,369,66.04
GRP_0377,38,3.7,2,2025-01-13,2026-04-13,459,65.88
GRP_1942,61,1.0,1,2025-01-07,2026-04-26,465,65.78
GRP_0507,1,9.2,3,2025-03-13,2025-03-13,400,65.57
GRP_2958,51,2.8,1,2025-01-03,2026-04-28,469,65.53
GRP_0091,4,8.3,3,2025-01-09,2026-02-08,463,65.53
GRP_0887,1,9.3,3,2025-04-09,2025-04-09,373,65.49
GRP_1067,2,8.9,3,2025-02-27,2025-11-23,414,65.46
GRP_0676,2,9.4,3,2025-06-11,2025-12-15,310,65.37
GRP_2619,2,9.8,3,2025-09-04,2026-02-24,225,65.21
GRP_0124,2,8.8,3,2025-02-20,2025-04-27,421,65.14
GRP_1658,5,8.5,3,2025-04-14,2025-12-20,368,65.13
GRP_0023,45,3.8,1,2025-01-02,2026-04-05,470,65.1
GRP_0570,2,9.4,3,2025-06-28,2025-09-25,293,65.01
GRP_2040,44,4.0,1,2025-01-07,2026-04-21,465,64.99
GRP_0382,2,8.6,3,2025-01-22,2025-05-02,450,64.97
GRP_2498,1,9.3,3,2025-05-12,2025-05-12,340,64.78
GRP_1448,2,9.3,3,2025-06-19,2025-10-06,302,64.76
GRP_2514,2,9.1,3,2025-05-13,2026-04-02,339,64.74
GRP_2556,2,8.8,3,2025-03-17,2026-01-01,396,64.67
GRP_1084,1,8.7,3,2025-01-20,2025-01-20,452,64.61
GRP_2372,1,9.5,3,2025-07-02,2025-07-02,289,64.61
GRP_2203,43,2.4,2,2025-01-07,2026-03-24,465,64.53
GRP_2630,1,9.8,3,2025-09-06,2025-09-06,223,64.47
GRP_1449,1,8.6,3,2025-01-17,2025-01-17,455,64.34
GRP_2678,1,9.7,3,2025-08-30,2025-08-30,230,64.21
GRP_0513,3,9.8,2,2025-01-03,2025-10-22,469,64.2
GRP_2738,2,9.4,3,2025-08-24,2025-11-03,236,63.87
GRP_2064,1,10.0,3,2025-11-15,2025-11-15,153,63.87
GRP_0962,1,9.6,3,2025-08-28,2025-08-28,232,63.85
GRP_2901,1,9.0,3,2025-05-03,2025-05-03,349,63.8
GRP_2587,3,8.8,3,2025-06-12,2025-12-13,309,63.71
GRP_0905,3,9.2,3,2025-08-30,2026-01-22,230,63.7
GRP_0573,2,8.7,3,2025-04-17,2025-04-23,365,63.68
GRP_1670,4,8.4,3,2025-05-02,2026-04-02,350,63.66
GRP_0039,4,8.2,3,2025-03-24,2026-03-07,389,63.63
GRP_2743,2,8.3,3,2025-01-29,2025-08-11,443,63.61
GRP_1665,51,2.3,1,2025-01-04,2026-04-28,468,63.56
GRP_2988,58,1.0,1,2025-01-05,2026-04-28,467,63.54
GRP_2798,45,1.8,2,2025-01-13,2026-03-13,459,63.49
GRP_2056,1,9.5,3,2025-08-30,2025-08-30,230,63.42
GRP_1281,2,8.7,3,2025-05-01,2026-04-08,351,63.41
GRP_2385,2,8.4,3,2025-03-09,2025-09-19,404,63.23
GRP_1175,3,8.6,3,2025-05-27,2026-03-01,325,63.18
GRP_1194,1,9.2,3,2025-07-12,2025-07-12,279,63.17
GRP_0647,1,9.9,3,2025-12-07,2025-12-07,131,63.03
GRP_1620,2,9.8,2,2025-01-27,2025-09-18,445,63.0
GRP_2934,1,9.0,3,2025-06-11,2025-06-11,310,62.97
GRP_2544,2,8.0,3,2025-01-09,2025-06-24,463,62.83
GRP_1583,1,8.7,3,2025-04-20,2025-04-20,362,62.82
GRP_1560,2,8.6,3,2025-05-14,2026-02-22,338,62.74
GRP_2155,3,9.9,3,2026-03-05,2026-03-24,43,62.73
GRP_1352,3,9.9,2,2025-04-09,2026-02-20,373,62.66
GRP_0070,2,8.1,3,2025-02-08,2025-05-07,433,62.64
GRP_0184,1,9.8,2,2025-01-07,2025-01-07,465,62.62
GRP_0365,51,2.1,1,2025-01-10,2026-04-27,462,62.6
GRP_2579,1,9.7,3,2025-11-20,2025-11-20,148,62.58
GRP_1782,3,8.6,3,2025-06-29,2026-03-18,292,62.57
GRP_2480,39,4.3,1,2025-01-06,2026-04-23,466,62.49
GRP_1364,2,8.8,3,2025-07-05,2025-09-14,286,62.47
GRP_1270,2,8.9,3,2025-07-28,2025-09-29,263,62.43
GRP_0566,2,8.4,3,2025-04-16,2026-01-19,366,62.43
GRP_2220,2,9.6,2,2025-01-19,2025-12-01,453,62.32
GRP_2051,1,9.5,3,2025-10-24,2025-10-24,175,62.32
GRP_2339,3,9.9,2,2025-04-28,2026-04-04,354,62.31
GRP_0250,1,10.0,3,2026-01-31,2026-01-31,76,62.28
GRP_2063,1,8.9,3,2025-07-02,2025-07-02,289,62.21
GRP_2492,2,8.7,3,2025-06-29,2025-06-30,292,62.17
GRP_0122,2,9.5,2,2025-01-11,2025-07-28,461,62.13
GRP_2206,1,9.0,3,2025-07-26,2025-07-26,265,62.12
GRP_1895,2,8.3,3,2025-04-18,2025-07-13,364,62.0
GRP_1575,3,8.4,3,2025-06-17,2026-03-30,304,61.96
GRP_2234,1,8.9,3,2025-07-18,2025-07-18,273,61.86
GRP_2921,3,9.6,2,2025-03-20,2026-03-28,393,61.86
GRP_1913,2,9.8,2,2025-03-25,2025-09-04,388,61.83
GRP_2674,3,9.2,2,2025-01-06,2026-03-31,466,61.72
GRP_1031,2,8.2,3,2025-04-15,2025-09-26,367,61.69
GRP_0489,1,8.2,3,2025-03-08,2025-03-08,405,61.66
GRP_0178,50,2.0,1,2025-01-01,2026-04-25,471,61.64
GRP_2538,1,8.4,3,2025-04-25,2025-04-25,357,61.53
GRP_1623,2,9.4,2,2025-01-22,2025-07-30,450,61.51
GRP_0079,3,9.4,2,2025-02-28,2026-01-26,413,61.48
GRP_1263,2,7.8,3,2025-02-06,2026-03-19,435,61.48
GRP_1259,1,9.8,3,2026-02-03,2026-02-03,73,61.47
GRP_2838,2,9.0,3,2025-10-06,2026-01-16,193,61.43
GRP_2021,1,9.6,3,2025-12-26,2025-12-26,112,61.41
GRP_2580,3,9.6,2,2025-04-13,2026-03-14,369,61.39
GRP_1096,2,7.9,3,2025-03-01,2025-10-19,412,61.38
GRP_1354,1,9.2,3,2025-10-12,2025-10-12,187,61.37
GRP_2522,2,7.8,3,2025-02-12,2025-09-19,429,61.33
GRP_1336,1,8.4,3,2025-05-07,2025-05-07,345,61.27
GRP_1971,2,9.7,2,2025-04-04,2025-05-15,378,61.24
GRP_0736,1,7.8,3,2025-01-09,2025-01-09,463,61.23
GRP_2213,2,7.8,3,2025-02-20,2025-11-22,421,61.19
GRP_0789,1,8.3,3,2025-04-23,2025-04-23,359,61.19
GRP_2839,2,8.8,3,2025-09-14,2026-04-17,215,61.09
GRP_2323,1,9.4,3,2025-12-05,2025-12-05,133,61.07
GRP_2271,2,8.2,3,2025-05-19,2026-02-08,333,61.04
GRP_1128,2,7.7,3,2025-02-07,2025-05-22,434,61.04
GRP_1062,2,7.9,3,2025-03-19,2025-10-02,394,61.01
GRP_1759,2,8.1,3,2025-05-03,2026-04-11,349,60.96
GRP_0964,2,7.8,3,2025-03-02,2025-04-18,411,60.95
GRP_1750,2,8.7,3,2025-08-29,2025-09-03,231,60.94
GRP_2007,2,7.9,3,2025-04-02,2025-08-13,380,60.73
GRP_1955,1,9.7,3,2026-02-20,2026-02-20,56,60.73
GRP_0183,1,9.9,3,2026-04-03,2026-04-03,14,60.65
GRP_1584,3,7.8,3,2025-04-28,2026-03-28,354,60.56
GRP_2931,2,8.3,3,2025-07-04,2026-03-12,287,60.53
GRP_0585,41,1.8,2,2025-01-14,2026-04-29,458,60.52
GRP_2306,5,6.9,3,2025-01-20,2026-03-14,452,60.43
GRP_0313,3,8.9,2,2025-01-18,2025-07-28,454,60.34
GRP_2727,41,1.7,2,2025-01-03,2026-04-25,469,60.34
GRP_1948,1,9.4,3,2026-01-13,2026-01-13,94,60.28
GRP_1125,2,10.0,2,2025-07-21,2025-08-23,270,60.26
GRP_2952,1,9.1,3,2025-11-17,2025-11-17,151,60.22
GRP_1968,1,8.5,3,2025-07-23,2025-07-23,268,60.16
GRP_2279,1,9.2,2,2025-01-14,2025-01-14,458,60.08
GRP_1567,4,7.1,3,2025-02-11,2026-02-10,430,60.08
GRP_0607,1,9.3,2,2025-02-07,2025-02-07,434,60.02
GRP_1156,1,8.7,3,2025-09-06,2025-09-06,223,60.02
GRP_0510,1,8.6,3,2025-08-22,2025-08-22,238,59.97
GRP_1105,1,9.0,3,2025-11-11,2025-11-11,157,59.95
GRP_2458,1,8.1,3,2025-05-17,2025-05-17,335,59.94
GRP_2542,1,9.2,3,2025-12-22,2025-12-22,116,59.92
GRP_2830,2,9.2,3,2026-01-30,2026-04-17,77,59.91
GRP_1456,4,8.6,2,2025-01-18,2025-08-16,454,59.86
GRP_1020,2,9.1,2,2025-02-11,2025-03-13,430,59.85
GRP_1063,2,7.6,3,2025-03-23,2026-01-28,390,59.79
GRP_1563,2,7.3,3,2025-01-20,2025-08-23,452,59.76
GRP_2391,3,8.0,3,2025-07-18,2025-12-06,273,59.74
GRP_1005,1,9.8,2,2025-06-01,2025-06-01,320,59.7
GRP_1973,1,9.3,2,2025-03-02,2025-03-02,411,59.56
GRP_0311,2,9.6,2,2025-06-10,2026-01-07,311,59.54
GRP_2972,2,7.8,3,2025-05-16,2025-11-05,336,59.49
GRP_1671,1,8.2,3,2025-06-27,2025-06-27,294,59.47
GRP_0289,1,7.3,3,2025-01-03,2025-01-03,469,59.37
GRP_0665,2,7.9,3,2025-06-09,2025-10-28,312,59.36
GRP_1865,1,9.8,2,2025-06-24,2025-06-24,297,59.31
GRP_2084,2,9.5,2,2025-06-06,2025-09-28,315,59.2
GRP_2250,1,8.5,3,2025-09-08,2025-09-08,221,59.19
GRP_2317,1,9.7,2,2025-06-08,2025-06-08,313,59.18
GRP_0119,1,10.0,2,2025-08-08,2025-08-08,252,59.16
GRP_1966,2,9.5,2,2025-06-08,2025-09-09,313,59.13
GRP_0328,1,7.5,3,2025-02-26,2025-02-26,415,59.1
GRP_0315,1,8.8,3,2025-11-12,2025-11-12,156,59.1
GRP_2648,4,8.7,2,2025-03-20,2026-03-30,393,59.07
GRP_2693,3,7.2,3,2025-03-15,2025-06-20,398,59.04
GRP_0892,3,7.6,3,2025-06-04,2026-04-19,317,59.02
GRP_2655,2,9.2,2,2025-04-17,2025-06-10,365,58.98
GRP_0446,38,3.6,1,2025-01-03,2026-04-27,469,58.98
GRP_2820,2,9.5,2,2025-06-17,2025-08-22,304,58.96
GRP_1014,2,9.0,2,2025-03-08,2026-03-19,405,58.95
GRP_0716,1,7.8,3,2025-05-05,2025-05-05,347,58.95
GRP_2722,1,9.1,2,2025-02-21,2025-02-21,420,58.92
GRP_2955,2,7.7,3,2025-05-22,2025-09-15,330,58.91
GRP_1447,1,9.1,2,2025-02-23,2025-02-23,418,58.9
GRP_2208,1,9.1,2,2025-02-24,2025-02-24,417,58.89
GRP_0664,1,8.2,3,2025-07-27,2025-07-27,264,58.88
GRP_1822,2,7.6,3,2025-05-14,2025-12-18,338,58.74
GRP_1635,3,9.0,3,2026-03-26,2026-04-09,22,58.71
GRP_1395,1,7.2,3,2025-01-17,2025-01-17,455,58.66
GRP_0299,1,8.4,3,2025-09-17,2025-09-17,212,58.64
GRP_1101,2,7.8,3,2025-06-28,2025-07-31,293,58.63
GRP_1132,2,8.7,3,2025-12-26,2026-03-10,112,58.61
GRP_0257,1,7.1,3,2025-01-04,2025-01-04,468,58.53
GRP_0317,3,8.8,2,2025-03-30,2025-09-12,383,58.5
GRP_1940,2,9.4,2,2025-06-21,2026-04-05,300,58.5
GRP_0867,2,9.1,2,2025-04-23,2026-03-23,359,58.49
GRP_0749,2,10.0,2,2025-10-19,2026-01-24,180,58.49
GRP_0997,1,7.1,3,2025-01-07,2025-01-07,465,58.47
GRP_1743,2,8.7,3,2025-12-31,2026-04-20,107,58.45
GRP_0891,1,9.7,2,2025-07-17,2025-07-17,274,58.44
GRP_1932,1,9.3,3,2026-03-26,2026-03-26,22,58.42
GRP_0796,2,8.4,3,2025-11-08,2026-03-06,160,58.35
GRP_2975,2,7.0,3,2025-02-03,2025-05-24,438,58.28
GRP_1729,1,7.7,3,2025-05-20,2025-05-20,332,58.26
GRP_2698,2,7.9,3,2025-08-07,2026-02-18,253,58.23
GRP_2031,1,10.0,2,2025-09-24,2025-09-24,205,58.2
GRP_0932,1,8.4,3,2025-10-11,2025-10-11,188,58.17
GRP_0490,1,9.2,2,2025-04-20,2025-04-20,362,58.15
GRP_2593,3,9.3,2,2025-07-25,2026-03-23,266,58.14
GRP_1527,2,7.6,3,2025-06-10,2026-04-29,311,58.13
GRP_0308,1,7.7,3,2025-05-31,2025-05-31,321,58.05
GRP_2044,2,9.2,2,2025-06-03,2025-11-04,318,58.04
GRP_1202,2,8.5,2,2025-01-19,2025-02-11,453,57.97
GRP_1871,2,6.9,3,2025-01-30,2025-06-20,442,57.96
GRP_0460,1,8.0,3,2025-08-04,2025-08-04,256,57.94
GRP_2482,3,8.3,2,2025-01-19,2025-09-22,453,57.92
GRP_1418,45,2.0,1,2025-01-02,2026-04-29,470,57.89
GRP_2754,2,7.2,3,2025-04-05,2025-11-17,377,57.86
GRP_0753,2,8.5,2,2025-01-23,2025-11-24,449,57.85
GRP_0637,2,9.9,2,2025-11-02,2026-04-25,166,57.83
GRP_0445,1,8.6,2,2025-01-08,2025-01-08,464,57.79
GRP_0325,2,9.3,2,2025-07-08,2026-03-12,283,57.74
GRP_1070,42,2.7,1,2025-02-09,2026-04-19,432,57.68
GRP_0874,1,7.0,3,2025-02-01,2025-02-01,440,57.59
GRP_2524,2,8.4,2,2025-01-16,2026-04-20,456,57.59
GRP_2001,1,9.8,2,2025-09-15,2025-09-15,214,57.58
GRP_1439,41,2.8,1,2025-01-28,2026-04-29,444,57.56
GRP_1643,2,8.6,2,2025-02-28,2025-09-17,413,57.53
GRP_0813,3,9.9,1,2025-01-25,2025-07-28,447,57.5
GRP_0060,2,7.8,3,2025-08-22,2026-04-24,238,57.49
GRP_1222,2,7.1,3,2025-04-06,2025-12-22,376,57.45
GRP_1959,3,8.2,2,2025-01-23,2025-12-28,449,57.44
GRP_0449,3,8.6,2,2025-04-12,2025-11-12,370,57.41
GRP_0432,1,8.7,2,2025-02-20,2025-02-20,421,57.39
GRP_2295,1,8.7,2,2025-02-19,2025-02-19,422,57.38
GRP_2735,2,9.9,2,2025-11-24,2026-01-02,144,57.37
GRP_1592,1,7.1,3,2025-03-04,2025-03-04,409,57.36
GRP_2761,2,8.5,2,2025-02-17,2025-05-20,424,57.35
GRP_0820,1,8.1,3,2025-09-24,2025-09-24,205,57.32
GRP_2222,1,8.2,3,2025-10-15,2025-10-15,184,57.31
GRP_0711,2,7.7,3,2025-08-13,2025-12-09,247,57.3
GRP_1232,2,7.8,3,2025-09-02,2025-09-10,227,57.26
GRP_2469,4,8.5,2,2025-05-10,2026-02-12,342,57.25
GRP_2543,1,7.0,3,2025-02-17,2025-02-17,424,57.25
GRP_0273,1,6.8,3,2025-01-11,2025-01-11,461,57.23
GRP_0344,1,8.5,3,2025-12-18,2025-12-18,120,57.22
GRP_2452,1,10.0,2,2025-11-13,2025-11-13,155,57.21
GRP_0559,1,9.5,2,2025-08-08,2025-08-08,252,57.16
GRP_2813,4,6.5,3,2025-03-09,2026-01-23,404,57.14
GRP_1853,49,1.2,1,2025-01-28,2026-04-21,444,57.13
GRP_1057,44,2.0,1,2025-01-02,2026-04-14,470,57.12
GRP_0033,1,9.0,3,2026-04-03,2026-04-03,14,57.12
GRP_0434,3,8.6,2,2025-04-30,2026-04-29,352,57.1
GRP_1385,3,8.0,3,2025-12-01,2026-04-08,137,57.07
GRP_2596,2,7.0,3,2025-04-07,2026-01-10,375,57.06
GRP_2310,2,8.7,2,2025-04-15,2026-03-19,367,57.02
GRP_1674,1,9.5,2,2025-08-16,2025-08-16,244,57.01
GRP_0086,3,8.0,2,2025-01-05,2026-02-23,467,57.0
GRP_2516,2,8.4,2,2025-02-17,2025-12-21,424,56.99
GRP_2258,2,7.5,3,2025-07-19,2026-03-03,272,56.98
GRP_0893,2,8.9,2,2025-05-28,2026-03-19,324,56.93
GRP_2824,3,6.4,3,2025-01-23,2026-02-17,449,56.9
GRP_1372,1,7.5,3,2025-06-19,2025-06-19,302,56.88
GRP_2343,1,9.7,2,2025-09-30,2025-09-30,199,56.88
GRP_2520,43,2.2,1,2025-01-19,2026-04-15,453,56.86
GRP_1954,2,7.4,3,2025-07-08,2025-10-02,283,56.83
GRP_2635,1,7.5,3,2025-06-21,2025-06-21,300,56.79
GRP_1912,3,6.6,3,2025-03-12,2026-01-17,401,56.75
GRP_0488,2,7.0,3,2025-05-01,2026-01-17,351,56.61
GRP_2573,1,7.5,3,2025-06-29,2025-06-29,292,56.61
GRP_1293,3,7.5,3,2025-09-13,2026-01-19,216,56.6
