ID,Item,Damage_Rate,Cost,Company_Info,Report_Date,Completion_Date,Repair_Days
EST_00030,보호시설물볼라드,3,190000,에코시설,2020-01-07,2020-02-27,51
EST_00031,점자블록,3,88000,동화조경,2020-01-08,2020-02-13,36
EST_00032,보호시설물볼라드,1,62000,우신조경,2020-01-08,2020-01-25,17
EST_00033,트랜치,2,125000,미래시스템,2020-01-08,2020-01-24,16
EST_00034,등받이없는벤치,3,517000,우신시설관리,2020-01-08,2020-02-22,45
EST_00035,등받이있는벤치,3,555000,제일안전,2020-01-08,2020-02-16,39
EST_00036,보호시설물무단횡단방지시설,1,94000,한성산업,2020-01-08,2020-01-30,22
EST_00037,농구대,3,1432000,대명산업,2020-01-08,2020-03-20,72
EST_00038,보호펜스,2,84000,우신조경,2020-01-09,2020-02-11,33
EST_00039,등받이없는벤치,3,607000,미래안전,2020-01-10,2020-03-05,55
EST_00040,그네,3,1932000,제일산업,2020-01-10,2020-06-06,148
EST_00041,보도블록,1,14000,태영안전,2020-01-10,2020-01-20,10
EST_00042,점자블록,1,12000,동화조경,2020-01-10,2020-01-22,12
EST_00043,가로수보호덮개,1,90000,한성토목,2020-01-11,2020-01-22,11
EST_00044,보차도경계석,1,16000,신세계시설관리,2020-01-11,2020-01-28,17
EST_00045,점자블록,3,92000,신세계시설관리,2020-01-11,2020-02-20,40
EST_00046,그네,1,449000,제일안전,2020-01-11,2020-02-26,46
EST_00047,보차도경계석,3,150000,신세계시스템,2020-01-12,2020-02-29,48
EST_00048,트랜치,3,193000,태영안전,2020-01-12,2020-02-09,28
EST_00049,점자블록,3,62000,그린플레이,2020-01-12,2020-02-14,33
EST_00050,점자블록,1,15000,한성건설,2020-01-12,2020-01-24,12
EST_00051,농구대,2,1013000,제일시설관리,2020-01-12,2020-02-22,41
EST_00052,가로수보호덮개,3,377000,신세계조경,2020-01-12,2020-02-12,31
EST_00053,보차도경계석,3,143000,한성건설,2020-01-12,2020-03-13,61
EST_00054,보호시설물볼라드,2,102000,동화조경,2020-01-13,2020-02-03,21
EST_00055,가로수보호덮개,2,197000,한성산업,2020-01-13,2020-02-02,20
EST_00056,보도블록,2,22000,우신테크,2020-01-13,2020-02-03,21
EST_00057,맨홀,1,171000,태영안전,2020-01-13,2020-02-05,23
EST_00058,보도블록,3,50000,태영테크,2020-01-13,2020-02-12,30
EST_00059,맨홀,2,590000,중앙건설,2020-01-13,2020-02-20,38
EST_00060,보도블록,2,33000,제일안전,2020-01-13,2020-01-31,18
EST_00061,보호시설물볼라드,1,55000,중앙토목,2020-01-13,2020-01-28,15
EST_00062,보호시설물무단횡단방지시설,1,104000,미래안전,2020-01-14,2020-02-06,23
EST_00063,트랜치,1,59000,신세계안전,2020-01-14,2020-01-25,11
EST_00064,점자블록,2,33000,한성시설관리,2020-01-14,2020-02-03,20
EST_00065,보호시설물무단횡단방지시설,2,194000,중앙산업,2020-01-14,2020-02-23,40
EST_00066,달리기,3,2469000,한성건설,2020-01-15,2020-05-01,107
EST_00067,그네,1,507000,태영테크,2020-01-15,2020-03-11,56
EST_00068,맨홀,3,940000,제일테크,2020-01-15,2020-03-17,62
EST_00069,등받이없는벤치,2,288000,대명건설,2020-01-15,2020-02-07,23
EST_00070,등받이있는벤치,1,172000,동화조경,2020-01-15,2020-02-01,17
EST_00071,트랜치,3,208000,우신산업,2020-01-15,2020-02-28,44
EST_00072,보도블록,2,28000,미래안전,2020-01-16,2020-02-03,18
EST_00073,트랜치,2,120000,제일토목,2020-01-16,2020-02-05,20
EST_00074,보호시설물무단횡단방지시설,1,63000,제일안전,2020-01-16,2020-02-09,24
EST_00075,보차도경계석,2,80000,태영테크,2020-01-16,2020-02-12,27
EST_00076,등받이있는벤치,3,538000,우신시설관리,2020-01-16,2020-02-21,36
EST_00077,보차도경계석,3,148000,제일조경,2020-01-16,2020-02-26,41
EST_00078,축구골대,3,3608000,우신조경,2020-01-16,2020-04-24,99
EST_00079,등받이있는벤치,1,157000,우신시설관리,2020-01-16,2020-01-31,15
EST_00080,보호시설물볼라드,1,68000,동화조경,2020-01-17,2020-01-31,14
EST_00081,보호시설물무단횡단방지시설,3,452000,신세계테크,2020-01-17,2020-04-03,77
EST_00082,농구대,1,481000,미래토목,2020-01-17,2020-02-12,26
EST_00083,등받이없는벤치,3,512000,중앙건설,2020-01-17,2020-03-07,50
EST_00084,보호펜스,3,151000,대명건설,2020-01-17,2020-03-11,54
EST_00085,그네,1,313000,제일토목,2020-01-18,2020-03-06,48
EST_00086,농구대,3,1532000,제일테크,2020-01-19,2020-04-20,92
EST_00087,트랜치,1,57000,대명산업,2020-01-19,2020-01-31,12
EST_00088,보호시설물볼라드,1,42000,태영건설,2020-01-19,2020-02-03,15
EST_00089,보호시설물무단횡단방지시설,2,242000,신세계토목,2020-01-20,2020-02-21,32
EST_00090,가로수보호덮개,3,288000,대명안전,2020-01-20,2020-03-02,42
EST_00091,등받이없는벤치,1,120000,신세계조경,2020-01-21,2020-02-06,16
EST_00092,가로수보호덮개,3,289000,제일테크,2020-01-21,2020-03-04,43
EST_00093,그네,3,1990000,제일토목,2020-01-21,2020-06-27,158
EST_00094,트랜치,3,216000,그린플레이,2020-01-21,2020-02-24,34
EST_00095,보호시설물볼라드,3,197000,도시정비단,2020-01-21,2020-03-13,52
EST_00096,보호시설물볼라드,1,42000,동화테크,2020-01-22,2020-02-08,17
EST_00097,가로수보호덮개,3,461000,중앙건설,2020-01-22,2020-03-04,42
EST_00098,보호펜스,3,192000,우신산업,2020-01-22,2020-03-16,54
EST_00099,보차도경계석,1,25000,대명테크,2020-01-22,2020-02-08,17
EST_00100,맨홀,1,229000,대명시설관리,2020-01-23,2020-02-15,23
EST_00101,보호펜스,1,26000,동화테크,2020-01-23,2020-02-14,22
EST_00102,등받이없는벤치,2,259000,신세계안전,2020-01-23,2020-02-15,23
EST_00103,보호시설물볼라드,3,229000,우신산업,2020-01-23,2020-03-06,43
EST_00104,보호시설물볼라드,2,96000,중앙토목,2020-01-24,2020-02-20,27
EST_00105,축구골대,1,572000,신세계안전,2020-01-24,2020-02-27,34
EST_00106,보호시설물볼라드,2,138000,미래토목,2020-01-24,2020-02-17,24
EST_00107,점자블록,3,62000,신세계시설관리,2020-01-25,2020-02-25,31
EST_00108,맨홀,3,888000,신세계토목,2020-01-25,2020-04-11,77
EST_00109,그네,3,2036000,중앙테크,2020-01-25,2020-06-18,145
EST_00110,점자블록,1,22000,신세계테크,2020-01-25,2020-02-04,10
EST_00111,농구대,2,814000,중앙안전,2020-01-25,2020-03-11,46
EST_00112,달리기,2,1422000,중앙안전,2020-01-25,2020-03-26,61
EST_00113,보차도경계석,1,20000,제일안전,2020-01-25,2020-02-09,15
EST_00114,보차도경계석,3,107000,제일안전,2020-01-25,2020-03-19,54
EST_00115,등받이있는벤치,3,646000,신세계토목,2020-01-25,2020-03-09,44
EST_00116,축구골대,2,1775000,대명건설,2020-01-26,2020-03-15,49
EST_00117,맨홀,1,214000,신세계조경,2020-01-26,2020-02-20,25
EST_00118,가로수보호덮개,3,430000,대명산업,2020-01-26,2020-03-09,43
EST_00119,등받이없는벤치,2,309000,에코시설,2020-01-26,2020-02-16,21
EST_00120,가로수보호덮개,1,76000,신세계건설,2020-01-27,2020-02-07,11
EST_00121,보호시설물무단횡단방지시설,1,85000,그린플레이,2020-01-27,2020-02-21,25
EST_00122,등받이있는벤치,1,146000,대명시설관리,2020-01-27,2020-02-14,18
EST_00123,그네,3,2473000,제일조경,2020-01-27,2020-05-31,125
EST_00124,달리기,2,1491000,한성산업,2020-01-27,2020-03-15,48
EST_00125,보도블록,1,15000,현대시스템,2020-01-28,2020-02-09,12
EST_00126,가로수보호덮개,1,58000,한성시설관리,2020-01-28,2020-02-07,10
EST_00127,등받이없는벤치,3,601000,한성토목,2020-01-28,2020-03-20,52
EST_00128,농구대,1,511000,태영안전,2020-01-29,2020-02-26,28
EST_00129,미끄럼틀,3,4018000,동화조경,2020-01-29,2020-07-08,161
EST_00130,보도블록,3,51000,제일조경,2020-01-29,2020-03-02,33
EST_00131,보도블록,2,20000,그린플레이,2020-01-29,2020-02-18,20
EST_00132,등받이있는벤치,3,714000,신세계조경,2020-01-30,2020-03-16,46
EST_00133,보호시설물무단횡단방지시설,3,491000,제일토목,2020-01-30,2020-04-08,69
EST_00134,보호펜스,3,149000,신세계시스템,2020-01-30,2020-05-01,92
EST_00135,가로수보호덮개,1,106000,미래시설관리,2020-01-31,2020-02-11,11
EST_00136,그네,2,1038000,동화테크,2020-01-31,2020-04-20,80
EST_00137,점자블록,1,21000,대명안전,2020-01-31,2020-02-10,10
EST_00138,등받이없는벤치,3,546000,제일토목,2020-02-01,2020-03-11,39
EST_00139,축구골대,1,688000,대명안전,2020-02-01,2020-03-10,38
EST_00140,점자블록,2,43000,태영건설,2020-02-01,2020-02-17,16
EST_00141,축구골대,3,3952000,태영안전,2020-02-01,2020-05-14,103
EST_00142,그네,3,2436000,제일테크,2020-02-01,2020-06-30,150
EST_00143,보호시설물무단횡단방지시설,2,174000,우신산업,2020-02-01,2020-03-13,41
EST_00144,맨홀,1,273000,제일테크,2020-02-01,2020-02-25,24
EST_00145,맨홀,2,542000,동화토목,2020-02-01,2020-03-14,42
EST_00146,맨홀,1,190000,제일토목,2020-02-01,2020-02-23,22
EST_00147,농구대,2,1075000,신세계시설관리,2020-02-02,2020-03-15,42
EST_00148,달리기,2,1332000,미래시설관리,2020-02-02,2020-04-02,60
EST_00149,점자블록,1,18000,우신조경,2020-02-02,2020-02-13,11
EST_00150,농구대,1,464000,중앙건설,2020-02-02,2020-02-27,25
EST_00151,달리기,2,1510000,제일토목,2020-02-02,2020-03-24,51
EST_00152,등받이있는벤치,1,100000,신세계안전,2020-02-03,2020-02-20,17
EST_00153,가로수보호덮개,1,56000,미래안전,2020-02-03,2020-02-15,12
EST_00154,가로수보호덮개,3,411000,신세계안전,2020-02-04,2020-03-09,34
EST_00155,미끄럼틀,3,3361000,대명산업,2020-02-04,2020-06-28,145
EST_00156,미끄럼틀,2,2078000,에코시설,2020-02-04,2020-04-25,81
EST_00157,등받이있는벤치,3,795000,신세계건설,2020-02-04,2020-03-30,55
EST_00158,농구대,2,683000,태영안전,2020-02-04,2020-03-27,52
EST_00159,등받이있는벤치,1,172000,미래토목,2020-02-04,2020-02-21,17
EST_00160,등받이있는벤치,2,307000,태영안전,2020-02-04,2020-02-29,25
EST_00161,등받이없는벤치,1,94000,중앙토목,2020-02-04,2020-02-21,17
EST_00162,미끄럼틀,1,910000,제일토목,2020-02-04,2020-03-23,48
EST_00163,맨홀,2,547000,제일테크,2020-02-05,2020-03-13,37
EST_00164,그네,2,1172000,에코시설,2020-02-05,2020-04-15,70
EST_00165,맨홀,3,766000,한성토목,2020-02-06,2020-05-04,88
EST_00166,보도블록,2,29000,국토개발,2020-02-06,2020-02-25,19
EST_00167,등받이없는벤치,1,113000,대명테크,2020-02-06,2020-02-23,17
EST_00168,보도블록,1,14000,대명테크,2020-02-07,2020-02-18,11
EST_00169,보호시설물무단횡단방지시설,2,274000,제일안전,2020-02-07,2020-03-22,44
EST_00170,보차도경계석,1,29000,미래시스템,2020-02-07,2020-02-23,16
EST_00171,그네,3,2064000,중앙안전,2020-02-07,2020-06-18,132
EST_00172,등받이없는벤치,1,96000,중앙산업,2020-02-07,2020-02-25,18
EST_00173,가로수보호덮개,1,75000,태영안전,2020-02-07,2020-02-17,10
EST_00174,그네,3,2118000,동화시설관리,2020-02-08,2020-08-25,199
EST_00175,가로수보호덮개,3,297000,한성시설관리,2020-02-08,2020-03-15,36
EST_00176,보호펜스,3,225000,신세계시설관리,2020-02-08,2020-05-07,89
EST_00177,트랜치,2,120000,미래시스템,2020-02-08,2020-02-23,15
EST_00178,등받이있는벤치,2,358000,중앙토목,2020-02-08,2020-03-06,27
EST_00179,보호펜스,3,207000,한성산업,2020-02-09,2020-04-13,64
EST_00180,등받이없는벤치,1,137000,동화시스템,2020-02-09,2020-02-23,14
EST_00181,보호시설물볼라드,3,189000,중앙건설,2020-02-09,2020-03-22,42
EST_00182,농구대,2,856000,대명건설,2020-02-09,2020-03-21,41
EST_00183,맨홀,2,448000,중앙건설,2020-02-09,2020-03-15,35
EST_00184,등받이없는벤치,2,283000,도시정비단,2020-02-10,2020-03-08,27
EST_00185,등받이있는벤치,1,168000,중앙토목,2020-02-10,2020-02-24,14
EST_00186,보호시설물볼라드,3,285000,제일시설관리,2020-02-10,2020-04-02,52
EST_00187,농구대,1,500000,현대건설,2020-02-11,2020-03-09,27
EST_00188,가로수보호덮개,1,64000,제일안전,2020-02-11,2020-02-21,10
EST_00189,트랜치,3,254000,현대시스템,2020-02-11,2020-03-13,31
EST_00190,보호시설물볼라드,2,135000,동화조경,2020-02-12,2020-03-11,28
EST_00191,보차도경계석,2,50000,신세계건설,2020-02-12,2020-03-07,24
EST_00192,그네,3,1765000,신세계토목,2020-02-12,2020-07-26,165
EST_00193,등받이있는벤치,2,354000,중앙안전,2020-02-12,2020-03-05,22
EST_00194,등받이없는벤치,3,432000,신세계시설관리,2020-02-12,2020-04-12,60
EST_00195,보호시설물무단횡단방지시설,3,462000,제일테크,2020-02-13,2020-05-16,93
EST_00196,등받이없는벤치,1,117000,대명시설관리,2020-02-13,2020-02-27,14
EST_00197,점자블록,2,42000,신세계테크,2020-02-13,2020-03-02,18
EST_00198,그네,3,2444000,중앙안전,2020-02-13,2020-07-30,168
EST_00199,보차도경계석,3,126000,제일토목,2020-02-13,2020-03-21,37
EST_00200,축구골대,2,1468000,미래토목,2020-02-13,2020-04-06,53
EST_00201,축구골대,1,912000,신세계토목,2020-02-13,2020-03-21,37
EST_00202,보호시설물볼라드,3,244000,대명건설,2020-02-14,2020-03-23,38
EST_00203,보호시설물볼라드,2,128000,동화토목,2020-02-14,2020-03-10,25
EST_00204,점자블록,2,45000,동화토목,2020-02-14,2020-03-02,17
EST_00205,달리기,2,1482000,대명테크,2020-02-14,2020-04-09,55
EST_00206,등받이없는벤치,1,141000,제일산업,2020-02-14,2020-03-01,16
EST_00207,농구대,1,405000,대명시설관리,2020-02-14,2020-03-15,30
EST_00208,보도블록,1,13000,중앙테크,2020-02-15,2020-02-27,12
EST_00209,축구골대,3,3972000,신세계토목,2020-02-15,2020-06-15,121
EST_00210,맨홀,1,257000,대명산업,2020-02-15,2020-03-11,25
EST_00211,보차도경계석,3,153000,대명건설,2020-02-15,2020-04-13,58
EST_00212,농구대,2,1106000,동화토목,2020-02-16,2020-03-25,38
EST_00213,맨홀,2,419000,신세계테크,2020-02-17,2020-03-19,31
EST_00214,보차도경계석,2,63000,에코시설,2020-02-18,2020-03-18,29
EST_00215,트랜치,2,117000,동화테크,2020-02-18,2020-03-04,15
EST_00216,보호시설물무단횡단방지시설,1,120000,미래토목,2020-02-18,2020-03-11,22
EST_00217,보차도경계석,1,23000,한성건설,2020-02-18,2020-03-03,14
EST_00218,등받이없는벤치,1,96000,그린플레이,2020-02-18,2020-03-06,17
EST_00219,보도블록,1,8000,신세계시스템,2020-02-18,2020-02-28,10
EST_00220,보도블록,2,20000,신세계시설관리,2020-02-18,2020-03-06,17
EST_00221,가로수보호덮개,2,147000,중앙건설,2020-02-19,2020-03-06,16
EST_00222,맨홀,3,921000,미래시스템,2020-02-19,2020-04-19,60
EST_00223,등받이없는벤치,1,113000,제일토목,2020-02-20,2020-03-08,17
EST_00224,그네,1,467000,대명산업,2020-02-20,2020-04-12,52
EST_00225,보도블록,1,13000,동화시스템,2020-02-21,2020-03-03,11
EST_00226,등받이있는벤치,3,699000,태영테크,2020-02-21,2020-04-02,41
EST_00227,농구대,2,792000,동화테크,2020-02-21,2020-04-12,51
EST_00228,보호시설물무단횡단방지시설,3,536000,국토개발,2020-02-21,2020-04-22,61
EST_00229,농구대,1,309000,중앙산업,2020-02-21,2020-03-18,26
EST_00230,농구대,3,2172000,미래시설관리,2020-02-22,2020-05-22,90
EST_00231,보도블록,3,54000,동화시스템,2020-02-22,2020-04-02,40
EST_00232,미끄럼틀,1,627000,우신산업,2020-02-22,2020-04-07,45
EST_00233,보호시설물볼라드,3,271000,제일시설관리,2020-02-22,2020-04-24,62
EST_00234,등받이있는벤치,2,415000,제일시설관리,2020-02-22,2020-03-19,26
EST_00235,그네,1,481000,제일토목,2020-02-23,2020-04-15,52
EST_00236,등받이없는벤치,3,532000,대명안전,2020-02-23,2020-03-30,36
EST_00237,보차도경계석,3,104000,제일시설관리,2020-02-23,2020-04-11,48
EST_00238,미끄럼틀,1,1051000,동화시설관리,2020-02-23,2020-04-11,48
EST_00239,보도블록,1,7000,동화토목,2020-02-24,2020-03-06,11
EST_00240,보호펜스,2,104000,그린플레이,2020-02-24,2020-04-04,40
EST_00241,보호시설물볼라드,3,241000,미래안전,2020-02-24,2020-04-12,48
EST_00242,달리기,2,1141000,한성토목,2020-02-24,2020-04-21,57
EST_00243,보호시설물무단횡단방지시설,1,107000,동화시설관리,2020-02-24,2020-03-17,22
EST_00244,보호시설물무단횡단방지시설,3,443000,미래안전,2020-02-24,2020-05-04,70
EST_00245,보호시설물무단횡단방지시설,2,189000,중앙건설,2020-02-24,2020-04-07,43
EST_00246,가로수보호덮개,2,205000,동화조경,2020-02-24,2020-03-14,19
EST_00247,등받이없는벤치,3,425000,한성건설,2020-02-25,2020-04-05,40
EST_00248,달리기,1,754000,대명시설관리,2020-02-25,2020-03-29,33
EST_00249,보호펜스,3,160000,대명안전,2020-02-25,2020-05-29,94
EST_00250,보차도경계석,3,137000,제일산업,2020-02-25,2020-04-02,37
EST_00251,보차도경계석,1,22000,태영건설,2020-02-25,2020-03-10,14
EST_00252,미끄럼틀,3,3267000,제일조경,2020-02-26,2020-07-05,130
EST_00253,미끄럼틀,2,1628000,동화시스템,2020-02-26,2020-05-11,75
EST_00254,등받이없는벤치,3,419000,신세계시설관리,2020-02-27,2020-04-15,48
EST_00255,보도블록,3,47000,도시정비단,2020-02-27,2020-04-05,38
EST_00256,농구대,3,2017000,그린플레이,2020-02-27,2020-05-10,73
EST_00257,그네,3,1853000,대명테크,2020-02-27,2020-09-06,192
EST_00258,등받이있는벤치,1,129000,동화시설관리,2020-02-27,2020-03-12,14
EST_00259,트랜치,1,43000,국토개발,2020-02-27,2020-03-09,11
EST_00260,보호펜스,2,100000,제일조경,2020-02-27,2020-03-30,32
EST_00261,농구대,1,366000,중앙테크,2020-02-27,2020-03-23,25
EST_00262,농구대,1,444000,대명건설,2020-02-27,2020-03-26,28
EST_00263,트랜치,3,185000,동화테크,2020-02-27,2020-04-06,39
EST_00264,점자블록,1,18000,신세계조경,2020-02-28,2020-03-10,11
EST_00265,점자블록,3,61000,동화조경,2020-02-28,2020-04-09,41
EST_00266,가로수보호덮개,1,50000,제일산업,2020-02-28,2020-03-10,11
EST_00267,등받이있는벤치,1,166000,신세계시스템,2020-02-28,2020-03-15,16
EST_00268,점자블록,2,32000,동화시설관리,2020-02-28,2020-03-16,17
EST_00269,보차도경계석,1,21000,제일조경,2020-02-28,2020-03-15,16
EST_00270,보호펜스,3,144000,중앙건설,2020-02-28,2020-05-19,81
EST_00271,가로수보호덮개,1,58000,제일안전,2020-02-28,2020-03-09,10
EST_00272,점자블록,2,43000,동화조경,2020-02-28,2020-03-18,19
EST_00273,등받이없는벤치,1,110000,그린플레이,2020-02-28,2020-03-14,15
EST_00274,보호시설물무단횡단방지시설,2,257000,그린플레이,2020-02-28,2020-04-12,44
EST_00275,가로수보호덮개,2,148000,현대건설,2020-02-28,2020-03-14,15
EST_00276,등받이없는벤치,1,142000,제일테크,2020-02-28,2020-03-13,14
EST_00277,등받이없는벤치,3,547000,중앙건설,2020-02-28,2020-04-04,36
EST_00278,보호펜스,3,157000,한성건설,2020-02-28,2020-04-26,58
EST_00279,보차도경계석,1,27000,우신조경,2020-02-29,2020-03-14,14
EST_00280,보호시설물볼라드,1,42000,동화토목,2020-02-29,2020-03-17,17
EST_00281,맨홀,2,500000,제일안전,2020-02-29,2020-03-31,31
EST_00282,보호펜스,2,114000,우신산업,2020-02-29,2020-04-04,35
EST_00283,보차도경계석,2,50000,신세계시설관리,2020-03-01,2020-03-25,24
EST_00284,그네,1,547000,동화토목,2020-03-01,2020-04-19,49
EST_00285,그네,2,1323000,대명시설관리,2020-03-01,2020-05-23,83
EST_00286,맨홀,3,1084000,신세계테크,2020-03-01,2020-04-27,57
EST_00287,미끄럼틀,1,776000,동화조경,2020-03-01,2020-04-16,46
EST_00288,보호펜스,3,209000,태영안전,2020-03-02,2020-06-03,93
EST_00289,보차도경계석,2,82000,미래안전,2020-03-02,2020-03-26,24
EST_00290,보차도경계석,3,119000,한성토목,2020-03-02,2020-04-27,56
EST_00291,미끄럼틀,2,2057000,미래토목,2020-03-02,2020-05-16,75
EST_00292,보호시설물볼라드,2,127000,에코시설,2020-03-03,2020-03-30,27
EST_00293,그네,2,1030000,미래안전,2020-03-03,2020-05-28,86
EST_00294,축구골대,2,1565000,태영건설,2020-03-04,2020-04-26,53
EST_00295,보호시설물볼라드,3,218000,현대시스템,2020-03-04,2020-04-20,47
EST_00296,농구대,3,1444000,대명산업,2020-03-04,2020-06-22,110
EST_00297,보호시설물무단횡단방지시설,1,113000,동화시설관리,2020-03-04,2020-03-25,21
EST_00298,보차도경계석,3,112000,한성산업,2020-03-05,2020-04-19,45
EST_00299,점자블록,3,92000,미래시스템,2020-03-05,2020-03-31,26
EST_00300,점자블록,1,15000,우신테크,2020-03-05,2020-03-17,12
EST_00301,보호시설물무단횡단방지시설,3,356000,대명산업,2020-03-06,2020-05-07,62
EST_00302,보호시설물무단횡단방지시설,3,545000,제일테크,2020-03-06,2020-05-23,78
EST_00303,달리기,2,1635000,신세계토목,2020-03-06,2020-04-27,52
EST_00304,보호펜스,3,152000,에코시설,2020-03-06,2020-05-12,67
EST_00305,그네,1,416000,동화시설관리,2020-03-06,2020-05-02,57
EST_00306,농구대,3,1832000,동화시스템,2020-03-06,2020-06-13,99
EST_00307,달리기,2,1495000,동화시설관리,2020-03-06,2020-05-02,57
EST_00308,그네,3,1804000,태영테크,2020-03-07,2020-09-06,183
EST_00309,그네,2,1336000,대명건설,2020-03-07,2020-06-02,87
EST_00310,미끄럼틀,3,3871000,동화시스템,2020-03-08,2020-07-29,143
EST_00311,보차도경계석,3,140000,우신시설관리,2020-03-08,2020-04-25,48
EST_00312,보호시설물볼라드,1,56000,한성시설관리,2020-03-08,2020-03-25,17
EST_00313,보호펜스,2,93000,제일테크,2020-03-08,2020-04-11,34
EST_00314,미끄럼틀,1,733000,중앙토목,2020-03-08,2020-05-04,57
EST_00315,트랜치,1,30000,우신산업,2020-03-08,2020-03-18,10
EST_00316,등받이없는벤치,1,88000,한성산업,2020-03-08,2020-03-22,14
EST_00317,등받이있는벤치,2,372000,미래토목,2020-03-08,2020-04-02,25
EST_00318,달리기,2,1425000,신세계테크,2020-03-09,2020-05-13,65
EST_00319,등받이없는벤치,3,463000,제일안전,2020-03-10,2020-04-17,38
EST_00320,축구골대,3,2580000,대명건설,2020-03-10,2020-06-23,105
EST_00321,축구골대,2,1438000,태영건설,2020-03-10,2020-05-03,54
EST_00322,맨홀,1,215000,우신테크,2020-03-10,2020-04-04,25
EST_00323,가로수보호덮개,3,426000,제일토목,2020-03-11,2020-04-14,34
EST_00324,보호펜스,3,148000,제일산업,2020-03-11,2020-05-02,52
EST_00325,그네,1,492000,우신조경,2020-03-11,2020-05-04,54
EST_00326,보호시설물볼라드,3,239000,신세계테크,2020-03-11,2020-05-12,62
EST_00327,맨홀,3,1070000,신세계안전,2020-03-12,2020-05-28,77
EST_00328,농구대,1,299000,우신테크,2020-03-12,2020-04-07,26
EST_00329,가로수보호덮개,1,74000,대명테크,2020-03-12,2020-03-23,11
EST_00330,등받이있는벤치,2,410000,신세계테크,2020-03-12,2020-04-04,23
EST_00331,등받이없는벤치,1,126000,태영건설,2020-03-12,2020-03-28,16
EST_00332,보호펜스,2,77000,태영안전,2020-03-12,2020-04-18,37
EST_00333,보도블록,1,14000,우신시설관리,2020-03-12,2020-03-24,12
EST_00334,그네,3,2157000,제일시설관리,2020-03-12,2020-08-08,149
EST_00335,맨홀,2,510000,현대건설,2020-03-13,2020-04-21,39
EST_00336,축구골대,1,618000,신세계토목,2020-03-13,2020-04-19,37
EST_00337,보도블록,2,29000,한성안전,2020-03-13,2020-04-01,19
EST_00338,농구대,2,1038000,중앙안전,2020-03-13,2020-05-02,50
EST_00339,보도블록,1,9000,동화테크,2020-03-13,2020-03-23,10
EST_00340,그네,1,289000,신세계테크,2020-03-14,2020-04-29,46
EST_00341,보도블록,2,30000,우신산업,2020-03-14,2020-03-31,17
EST_00342,농구대,3,1627000,동화조경,2020-03-14,2020-05-25,72
EST_00343,트랜치,3,241000,중앙테크,2020-03-15,2020-04-11,27
EST_00344,등받이있는벤치,2,351000,우신조경,2020-03-15,2020-04-11,27
EST_00345,축구골대,1,501000,신세계건설,2020-03-15,2020-04-14,30
EST_00346,맨홀,3,1107000,동화시스템,2020-03-15,2020-06-04,81
EST_00347,보차도경계석,3,147000,동화토목,2020-03-16,2020-04-23,38
EST_00348,가로수보호덮개,2,226000,제일안전,2020-03-17,2020-04-05,19
EST_00349,보호시설물무단횡단방지시설,3,430000,우신산업,2020-03-17,2020-05-09,53
EST_00350,등받이있는벤치,1,173000,우신테크,2020-03-17,2020-04-01,15
