Group_ID,Frequency,Damage_Rate,Location_Risk,First_Report_Date,Last_Report_Date,Elapsed_Days,Final_Score
GRP_BUS_0021,8,2,6.22,2024-08-10,2025-10-30,446,72.04
GRP_BUS_0016,7,2,7.77,2024-04-02,2025-10-16,562,83.41
GRP_BUS_0012,8,3,7.68,2024-05-28,2025-09-27,487,133.43
GRP_BUS_0017,7,2,9.21,2024-02-05,2025-07-02,513,98.87
GRP_BUS_0026,6,2,5.44,2024-05-18,2025-08-27,466,53.79
GRP_BUS_0006,6,3,5.46,2024-04-19,2025-09-07,506,80.98
GRP_BUS_0033,7,3,6.4,2024-03-02,2025-05-10,434,103.06
GRP_BUS_0010,7,3,2.21,2024-04-14,2025-09-05,509,35.59
GRP_BUS_0029,11,3,2.87,2024-02-20,2025-11-30,649,60.81
GRP_BUS_0028,4,2,2.51,2024-11-07,2025-11-17,375,20.56
GRP_BUS_0014,4,3,6.75,2024-05-02,2025-09-13,499,82.95
GRP_BUS_0024,4,2,9.46,2024-04-14,2025-10-29,563,77.5
GRP_BUS_0025,8,3,7.08,2024-03-01,2025-11-17,626,123.01
GRP_BUS_0020,5,3,3.72,2024-02-01,2025-04-04,428,50.44
GRP_BUS_0013,5,2,4.37,2024-12-27,2025-09-18,265,32.51
GRP_BUS_0019,6,3,9.17,2024-08-28,2025-09-07,375,136.0
GRP_BUS_0018,9,3,5.87,2024-03-10,2025-11-09,609,109.45
GRP_BUS_0011,3,2,2.07,2024-05-19,2025-09-08,477,15.2
GRP_BUS_0007,6,3,8.24,2024-03-31,2025-08-20,507,122.21
GRP_BUS_0001,7,3,3.86,2024-02-14,2025-10-29,623,62.16
GRP_BUS_0002,5,3,2.7,2024-08-22,2025-11-27,462,36.61
GRP_BUS_0015,5,2,7.05,2024-05-15,2025-08-13,455,63.73
GRP_BUS_0027,6,3,8.16,2024-05-18,2025-11-06,537,121.02
GRP_BUS_0030,2,2,2.57,2024-06-01,2025-02-06,250,13.3
GRP_BUS_0008,4,3,8.99,2024-08-13,2025-05-30,290,95.81
GRP_BUS_0032,5,2,5.57,2024-02-19,2025-11-30,650,50.35
GRP_BUS_0003,7,3,4.65,2024-05-03,2025-11-15,561,74.88
GRP_BUS_0031,5,3,8.71,2024-07-12,2025-11-18,494,118.11
GRP_BUS_0023,2,2,4.02,2025-09-07,2025-09-13,6,9.52
GRP_BUS_0004,5,3,9.1,2024-04-27,2025-11-01,553,123.4
GRP_JEJ_0002,9,3,7.12,2024-02-16,2025-11-25,648,132.75
GRP_JEJ_0008,5,3,8.82,2024-03-14,2025-10-07,572,119.6
GRP_JEJ_0001,6,3,5.74,2024-04-14,2025-11-30,595,85.13
GRP_JEJ_0007,10,3,3.5,2024-02-24,2025-10-20,604,69.71
GRP_JEJ_0005,8,3,7.52,2024-02-11,2025-10-18,615,130.65
GRP_JEJ_0004,6,2,8.55,2024-05-12,2025-06-07,391,84.54
GRP_JEJ_0003,4,3,3.55,2024-03-15,2025-01-15,306,39.07
GRP_JEJ_0006,2,3,3.52,2024-11-09,2024-12-08,29,13.9
